Isaac Okoro\okorois01,SG,20,CLE,33,33,32.8,2.9,7.3,.402,0.8,3.0,.283,2.1,4.3,.486,.461,1.1,1.6,.679,1.0,1.7,2.7,1.8,1.1,0.5,1.4,3.1,7.8
Denzel Valentine\valende01,SG,27,CHI,33,3,19.2,3.0,7.9,.382,1.6,4.6,.351,1.4,3.4,.423,.483,0.2,0.2,1.000,0.4,3.7,4.1,1.8,0.7,0.0,0.6,1.2,7.8
Luke Kennard\kennalu01,SG,24,LAC,36,7,19.9,2.9,6.1,.471,1.5,3.4,.455,1.4,2.8,.490,.595,0.4,0.4,.867,0.3,2.4,2.6,1.8,0.4,0.2,0.8,1.5,7.7
Sterling Brown\brownst02,SG,25,HOU,35,5,23.2,2.8,6.5,.429,1.6,4.2,.388,1.1,2.3,.506,.555,0.5,0.5,.941,0.7,3.5,4.2,1.7,0.9,0.2,0.8,1.9,7.6
Tyrese Maxey\maxeyty01,SG,20,PHI,35,6,15.4,3.3,7.2,.451,0.4,1.6,.268,2.8,5.6,.503,.480,0.7,0.8,.852,0.2,1.5,1.7,1.7,0.4,0.2,0.7,1.1,7.6
JaVale McGee\mcgeeja01,C,33,CLE,29,1,15.1,3.2,6.5,.495,0.2,0.7,.263,3.0,5.8,.521,.508,1.0,1.6,.617,1.5,3.4,4.9,1.0,0.5,1.2,1.3,2.6,7.6
Payton Pritchard\pritcpa01,SG,23,BOS,32,1,20.9,2.8,6.2,.452,1.4,3.4,.409,1.4,2.8,.506,.565,0.5,0.6,.944,0.5,1.7,2.2,2.3,0.6,0.2,1.1,1.9,7.6
DeAndre Jordan\jordade01,C,32,BRK,37,28,23.1,3.4,4.4,.765,0.0,0.0,.000,3.4,4.4,.770,.765,0.8,1.6,.500,1.8,5.7,7.5,1.8,0.3,1.4,1.6,2.2,7.5
Royce O'Neale\onealro01,SF,27,UTA,38,38,32.7,2.6,5.8,.441,1.7,4.2,.409,0.9,1.7,.524,.588,0.7,0.8,.833,1.2,5.6,6.8,2.7,0.8,0.6,1.2,2.8,7.5
Aaron Holiday\holidaa01,PG,24,IND,37,6,18.7,2.8,7.2,.381,1.1,3.0,.351,1.7,4.2,.401,.453,0.8,1.1,.725,0.2,1.1,1.3,1.8,0.6,0.1,0.8,1.7,7.4
Trey Burke\burketr01,PG,28,DAL,36,0,16.0,2.7,6.1,.443,1.2,3.1,.384,1.5,3.0,.505,.541,0.8,0.9,.871,0.1,0.8,0.9,1.6,0.6,0.1,0.5,1.2,7.3
Talen Horton-Tucker\hortota01,SG,20,LAL,34,1,17.4,2.8,6.5,.436,0.5,1.9,.277,2.3,4.6,.503,.477,1.0,1.2,.829,0.3,2.1,2.4,1.9,0.8,0.6,1.3,2.1,7.2
Timothé Luwawu-Cabarrot\luwawti01,SF,25,BRK,34,6,19.7,2.5,6.5,.389,1.6,4.3,.363,1.0,2.2,.440,.509,0.6,0.8,.769,0.5,1.8,2.4,1.3,0.7,0.1,0.7,1.9,7.2
Robert Williams\williro04,C,23,BOS,31,0,16.3,3.1,4.3,.722,0.0,0.0,.000,3.1,4.3,.727,.722,0.9,1.4,.643,2.3,3.7,6.0,1.2,0.9,1.6,1.0,1.8,7.1
